timestamp,date,Pune Temperature [2 m elevation corrected]
20221017T0000,17-10-2022,24.0851
20221017T0100,17-10-2022,23.6851
20221017T0200,17-10-2022,23.525099
20221017T0300,17-10-2022,23.4051
20221017T0400,17-10-2022,23.1851
20221017T0500,17-10-2022,22.0451
20221017T0600,17-10-2022,21.6351
20221017T0700,17-10-2022,23.1651
20221017T0800,17-10-2022,24.4051
20221017T0900,17-10-2022,25.6651
20221017T1000,17-10-2022,26.5151
20221017T1100,17-10-2022,26.9051
20221017T1200,17-10-2022,25.6051
20221017T1300,17-10-2022,25.2551
20221017T1400,17-10-2022,25.0651
20221017T1500,17-10-2022,24.8051
20221017T1600,17-10-2022,24.4251
20221017T1700,17-10-2022,26.3551
20221017T1800,17-10-2022,25.8351
20221017T1900,17-10-2022,25.5851
20221017T2000,17-10-2022,25.2951
20221017T2100,17-10-2022,24.9651
20221017T2200,17-10-2022,24.6751
20221017T2300,17-10-2022,24.4751
20221018T0000,18-10-2022,24.3851
20221018T0100,18-10-2022,24.275099
20221018T0200,18-10-2022,24.1751
20221018T0300,18-10-2022,24.0851
20221018T0400,18-10-2022,24.0051
20221018T0500,18-10-2022,24.0951
20221018T0600,18-10-2022,23.9351
20221018T0700,18-10-2022,24.525099
20221018T0800,18-10-2022,25.7151
20221018T0900,18-10-2022,26.6251
20221018T1000,18-10-2022,26.2251
20221018T1100,18-10-2022,26.5651
20221018T1200,18-10-2022,26.775099
20221018T1300,18-10-2022,26.7951
20221018T1400,18-10-2022,27.7151
20221018T1500,18-10-2022,26.5451
20221018T1600,18-10-2022,26.2651
20221018T1700,18-10-2022,25.4151
20221018T1800,18-10-2022,24.4651
20221018T1900,18-10-2022,24.2651
20221018T2000,18-10-2022,23.6351
20221018T2100,18-10-2022,23.1051
20221018T2200,18-10-2022,22.6551
20221018T2300,18-10-2022,22.2251
20221019T0000,19-10-2022,21.8251
20221019T0100,19-10-2022,21.4551
20221019T0200,19-10-2022,21.1051
20221019T0300,19-10-2022,21.0851
20221019T0400,19-10-2022,21.025099
20221019T0500,19-10-2022,20.9551
20221019T0600,19-10-2022,20.8951
20221019T0700,19-10-2022,21.4951
20221019T0800,19-10-2022,23.1851
20221019T0900,19-10-2022,25.7051
20221019T1000,19-10-2022,26.4751
20221019T1100,19-10-2022,27.2051
20221019T1200,19-10-2022,26.775099
20221019T1300,19-10-2022,26.7051
20221019T1400,19-10-2022,26.6851
20221019T1500,19-10-2022,26.7051
20221019T1600,19-10-2022,26.0651
20221019T1700,19-10-2022,26.1051
20221019T1800,19-10-2022,23.9751
20221019T1900,19-10-2022,23.1251
20221019T2000,19-10-2022,22.535099
20221019T2100,19-10-2022,22.115099
20221019T2200,19-10-2022,21.8751
20221019T2300,19-10-2022,22.1051
20221020T0000,20-10-2022,22.2351
20221020T0100,20-10-2022,22.1251
20221020T0200,20-10-2022,21.9951
20221020T0300,20-10-2022,21.8351
20221020T0400,20-10-2022,21.695099
20221020T0500,20-10-2022,21.5951
20221020T0600,20-10-2022,21.6551
20221020T0700,20-10-2022,22.535099
20221020T0800,20-10-2022,24.6751
20221020T0900,20-10-2022,26.6251
20221020T1000,20-10-2022,27.5051
20221020T1100,20-10-2022,26.7651
20221020T1200,20-10-2022,26.9251
20221020T1300,20-10-2022,26.6051
20221020T1400,20-10-2022,26.8451
20221020T1500,20-10-2022,26.7251
20221020T1600,20-10-2022,26.5051
20221020T1700,20-10-2022,26.7451
20221020T1800,20-10-2022,25.3351
20221020T1900,20-10-2022,25.025099
20221020T2000,20-10-2022,25.1251
20221020T2100,20-10-2022,25.035099
20221020T2200,20-10-2022,24.8151
20221020T2300,20-10-2022,24.535099
20221021T0000,21-10-2022,24.2051
20221021T0100,21-10-2022,23.6051
20221021T0200,21-10-2022,23.0951
20221021T0300,21-10-2022,22.7451
20221021T0400,21-10-2022,22.5851
20221021T0500,21-10-2022,22.5451
20221021T0600,21-10-2022,22.535099
20221021T0700,21-10-2022,23.2351
20221021T0800,21-10-2022,24.4851
20221021T0900,21-10-2022,24.9651
20221021T1000,21-10-2022,25.615099
20221021T1100,21-10-2022,26.3051
20221021T1200,21-10-2022,26.4251
20221021T1300,21-10-2022,26.6351
20221021T1400,21-10-2022,26.6451
20221021T1500,21-10-2022,26.4651
20221021T1600,21-10-2022,26.2051
20221021T1700,21-10-2022,25.7251
20221021T1800,21-10-2022,24.5451
20221021T1900,21-10-2022,23.9151
20221021T2000,21-10-2022,23.3551
20221021T2100,21-10-2022,22.8051
20221021T2200,21-10-2022,22.3451
20221021T2300,21-10-2022,21.9151
20221022T0000,22-10-2022,21.6251
20221022T0100,22-10-2022,21.4151
20221022T0200,22-10-2022,21.3151
20221022T0300,22-10-2022,21.3051
20221022T0400,22-10-2022,21.2151
20221022T0500,22-10-2022,21.0751
20221022T0600,22-10-2022,20.8851
20221022T0700,22-10-2022,22.615099
20221022T0800,22-10-2022,24.8751
20221022T0900,22-10-2022,24.7351
20221022T1000,22-10-2022,25.0551
20221022T1100,22-10-2022,25.2951
20221022T1200,22-10-2022,25.5951
20221022T1300,22-10-2022,25.9051
20221022T1400,22-10-2022,26.6551
20221022T1500,22-10-2022,26.0651
20221022T1600,22-10-2022,25.9251
20221022T1700,22-10-2022,27.1651
20221022T1800,22-10-2022,24.9951
20221022T1900,22-10-2022,24.3851
20221022T2000,22-10-2022,23.9951
20221022T2100,22-10-2022,23.2951
20221022T2200,22-10-2022,22.1751
20221022T2300,22-10-2022,21.275099
20221023T0000,23-10-2022,20.6451
20221023T0100,23-10-2022,20.0851
20221023T0200,23-10-2022,19.4651
20221023T0300,23-10-2022,18.8951
20221023T0400,23-10-2022,18.4051
20221023T0500,23-10-2022,17.8451
20221023T0600,23-10-2022,17.285099
20221023T0700,23-10-2022,19.4251
20221023T0800,23-10-2022,22.7951
20221023T0900,23-10-2022,24.9851
